BenchmarkState,NumQueries,Pretransfer,Download
0,1,447,118802
1,1,189,18321935
0,2,644,218007
1,2,164,18325456
0,4,750,420103
1,4,189,18357581
0,8,1064,820431
1,8,190,18324400
0,16,2486,1512091
1,16,59,18332117
0,32,2698,2976962
1,32,56,18338337
0,64,82203,5596071
1,64,60,18321418
0,128,168298,9675732
1,128,59,18324477
0,256,247475,14997241
1,256,90,18361785
0,512,29348,20014055
1,512,190,18329452
0,1024,191703,21740117
1,1024,188,18332732
0,2048,440423,21904489
1,2048,191,18324260
0,4096,277800,21925768
1,4096,59,18326488
0,8192,342026,21773705
1,8192,52,18332102
