System,Query,Scale,Iteration,Loaded,Required,Requested,Headers
0,0,3,0,696180736,-1,1494,5189
0,0,3,1,696180736,-1,1494,5189
0,0,3,2,696180736,-1,1494,5189
0,0,4,0,6788390912,-1,1877,5146
0,0,4,1,6788390912,-1,1877,5146
0,0,4,2,6788390912,-1,1877,5146
0,0,5,0,13919420416,-1,1545,5223
0,0,5,1,13919420416,-1,1545,5223
0,0,5,2,13919420416,-1,1545,5223
0,1,3,0,486539264,-1,4942,19148
0,1,3,1,486539264,-1,4942,19148
0,1,3,2,486539264,-1,4942,19148
0,1,4,0,4780638208,-1,30627,122416
0,1,4,1,4780638208,-1,30627,122416
0,1,4,2,4780638208,-1,30627,122416
0,1,5,0,8765808640,-1,58813,237352
0,1,5,1,8765808640,-1,58813,237352
0,1,5,2,8765808640,-1,58813,237352
0,2,3,0,384131072,-1,821,2800
0,2,3,1,384131072,-1,821,2800
0,2,3,2,384131072,-1,821,2800
0,2,4,0,3784761344,-1,943,2811
0,2,4,1,3784761344,-1,943,2811
0,2,4,2,3784761344,-1,943,2811
0,2,5,0,7679713280,-1,851,2815
0,2,5,1,7679713280,-1,851,2815
0,2,5,2,7679713280,-1,851,2815
0,3,3,0,669077551,-1,3350,12113
0,3,3,1,669077551,-1,3350,12113
0,3,3,2,669077551,-1,3350,12113
0,3,4,0,6687002671,-1,3799,12154
0,3,4,1,6687002671,-1,3799,12154
0,3,4,2,6687002671,-1,3799,12154
0,3,5,0,12895957039,-1,4223,12162
0,3,5,1,12895957039,-1,4223,12162
0,3,5,2,12895957039,-1,4223,12162
0,4,3,0,290521088,-1,1688,6068
0,4,3,1,290521088,-1,1688,6068
0,4,3,2,290521088,-1,1688,6068
0,4,4,0,2903646208,-1,1738,6085
0,4,4,1,2903646208,-1,1738,6085
0,4,4,2,2903646208,-1,1738,6085
0,4,5,0,4847935488,-1,1746,6087
0,4,5,1,4847935488,-1,1746,6087
0,4,5,2,4847935488,-1,1746,6087
1,0,3,0,1835041823,-1,113,490
1,0,3,1,1835041823,-1,113,490
1,0,3,2,1835041823,-1,113,490
1,0,4,0,18342910671,-1,115,494
1,0,4,1,18342910671,-1,115,494
1,0,4,2,18342910671,-1,115,494
1,0,5,0,36692623436,-1,115,494
1,0,5,1,36692623436,-1,115,494
1,0,5,2,36692623436,-1,115,494
1,1,3,0,2207298015,-1,334,1460
1,1,3,1,2207298015,-1,334,1460
1,1,3,2,2207298015,-1,334,1460
1,1,4,0,22065032515,-1,340,1471
1,1,4,1,22065032515,-1,340,1471
1,1,4,2,22065032515,-1,340,1471
1,1,5,0,40823470935,-1,340,1471
1,1,5,1,40823470935,-1,340,1471
1,1,5,2,40823470935,-1,340,1471
1,2,3,0,1835041823,-1,113,490
1,2,3,1,1835041823,-1,113,490
1,2,3,2,1835041823,-1,113,490
1,2,4,0,18342910671,-1,115,494
1,2,4,1,18342910671,-1,115,494
1,2,4,2,18342910671,-1,115,494
1,2,5,0,36692623436,-1,115,494
1,2,5,1,36692623436,-1,115,494
1,2,5,2,36692623436,-1,115,494
1,3,3,0,2381764807,-1,657,2893
1,3,3,1,2381764807,-1,657,2893
1,3,3,2,2381764807,-1,657,2893
1,3,4,0,23808741934,-1,668,2912
1,3,4,1,23808741934,-1,668,2912
1,3,4,2,23808741934,-1,668,2912
1,3,5,0,44310750075,-1,668,2912
1,3,5,1,44310750075,-1,668,2912
1,3,5,2,44310750075,-1,668,2912
1,4,3,0,2207298015,-1,334,1460
1,4,3,1,2207298015,-1,334,1460
1,4,3,2,2207298015,-1,334,1460
1,4,4,0,22065032515,-1,340,1471
1,4,4,1,22065032515,-1,340,1471
1,4,4,2,22065032515,-1,340,1471
1,4,5,0,40823470935,-1,340,1471
1,4,5,1,40823470935,-1,340,1471
1,4,5,2,40823470935,-1,340,1471
